student_id,roll_no,full_name,gender,email,phone,branch,year,semester,section,academic_id,semester_academics,cgpa,sgpa,class_rank,backlogs,internal_avg,external_avg,attendance_id,semester_attendance,attendance_percentage,classes_attended,classes_conducted,low_attendance,placement_id,aptitude_score,resume_score,communication_score,interview_readiness,employability_score,placement_probability,placed,package_lpa,portfolio_id,projects,certifications,github_repositories,github_score,risk_id,backlog_risk,attendance_risk,placement_risk,overall_risk,ai_suggestion,skill_id,python,java,sql,machine_learning,data_science,communication,coding_score
1001,CSE221002,Student_1,Male,student2@mail.com,8999999989.658354,ECE,4.0,1.0,A,-169.87796976433486,1.0,7.11,7.03,70.29026455624988,1.82987839133398,20.746394107338233,47.56550874022338,1.9,3.0,93.75,139.42017326076146,150.53358135754877,0.43,68.35257754058476,82.59,48.3,81.62,82.85920567483808,51.98,Medium,0.020352872825986572,-0.594894105137373,-30.56371016634292,0.9059826959363078,2.205196796843271,5.352234958636844,12.72,10.485277020931617,Medium,Low,High,High,"Improve attendance, DSA, projects.",196.19172377615146,71.5509278919819,76.38072523309738,67.07498262656001,71.01570728226329,64.91180662655904,81.74027747656623,100.0
1002,CSE221002,Student_2,Female,student2@mail.com,9000000017.645977,DS,4.0,6.0,C,-238.9247698336372,4.0,7.26,7.63,105.05601048656466,1.816587475263588,21.69863522190904,50.62734401320977,0.0,3.0,89.6,135.77250785065797,149.6048060221461,0.0,-86.3550403257539,53.05,43.39,55.81,54.34600348454573,51.68,Low,0.2738622351194554,-0.08519944345443216,174.08446846122408,1.6623832030426788,1.9137024818123667,5.007680167543439,37.82,70.12484504287164,Medium,Low,Medium,High,"Improve attendance, DSA, projects.",-74.32606213410831,58.03538966851015,53.67416405666618,57.61895175658146,52.93161367418975,49.612289315445,55.128589127438545,100.0
1003,CSE221003,Student_4,Female,student4@mail.com,9000000093.202042,AI,3.0,8.0,C,-134.05787938571765,9.0,5.63,5.01,3.7545843213140113,3.0040745237500026,16.64579459765465,40.981551476316625,0.0,2.0,78.5,117.47296126164619,149.9727547567213,0.0,-71.89093083051007,62.31,32.03,54.59,54.53800265992725,40.55,Low,-0.39037070184341616,-0.36221220610797034,38.69962179963567,0.92619931482115,1.1904762511636473,4.472903715484113,44.33,-35.47530184097552,High,Low,High,High,"Improve attendance, DSA, projects.",-69.38438651290534,65.9875009230495,74.93418262999629,57.41552978386773,50.319450943674454,66.5194147051781,55.716845898227135,100.0
1004,CSE221005,Student_4,Male,student5@mail.com,8999999903.974136,IT,4.0,8.0,B,-181.5898567110215,2.0,7.12,7.93,24.19726425722302,1.3165120089708906,22.09732461037819,53.0465150271817,0.0,9.0,78.64,117.22012042533481,149.6978915849872,0.63,8.868024313998886,77.05,41.74,59.33,67.4507084229221,55.33,Low,-0.281444636611352,-1.5198357846812753,2.2479896071940733,2.3075530114778453,2.501458300194753,7.469707782872366,40.82,-113.86531885464693,Medium,High,High,High,"Improve attendance, DSA, projects.",93.59141322377758,71.20429620434948,75.34697142916177,73.05225082696171,62.76091008700199,65.54082559162171,59.24750422521909,100.0
1005,CSE221005,Student_6,Female,student5@mail.com,8999999980.827162,ECE,3.0,6.0,A,52.65156222598712,2.0,8.22,9.06,57.00746939462638,0.8719861170629828,23.452493676887762,55.15678483969329,0.0,7.0,91.62,138.88695504035556,150.19366391646975,0.76,185.69522669039253,73.77,53.63,75.82,74.29466877345547,59.08,Low,0.23647315160018204,-0.19794744589249313,130.25729021300853,2.4185094104286,2.7893799403377013,8.069310558100156,25.34,-17.37062418702214,Medium,High,Medium,High,"Improve attendance, DSA, projects.",164.9892932598044,74.75737033416962,76.94665352678452,75.63015212232519,65.96204655609235,64.84767283042513,73.43020882330114,100.0
1006,CSE221006,Student_7,Male,student6@mail.com,8999999936.930826,CSE,2.0,7.0,A,52.12812799492143,5.0,7.75,7.67,50.378013410774216,1.931643002390287,22.19607027219964,50.939341102573444,0.0,6.0,86.76,131.12970473411457,150.83309708454277,0.46,-223.93100285203883,79.75,45.12,73.83,76.5641411878139,53.7,Medium,-0.6577408079101534,-1.014534941361762,17.87225168597177,0.7241622490807424,1.8622467803649114,7.239409403180274,30.97,64.85020103109053,Medium,Low,High,High,Keep consistency.,3.1994337664925934,73.2003395958991,68.38416525175585,78.71893707830006,60.09842614770667,61.6982692388359,76.391922589015,100.0
1007,CSE221007,Student_8,Male,student8@mail.com,9000000093.47413,DS,3.0,1.0,C,-113.81732171480108,5.0,6.05,6.7,71.47795101236733,3.891281932594113,18.074919449361037,43.310219535995444,0.0,6.0,76.25,112.82010786981189,149.2418782060057,0.15,163.9249960123315,80.65,43.06,60.3,69.05753940791335,44.77,Low,0.4308069342855754,-0.057853660894390826,233.4845868674077,2.117483712628209,2.941169078400128,4.331104055476774,45.88,-96.43800875835323,Low,High,High,Medium,Keep consistency.,-52.6110652932562,61.3096350836656,55.262576983830435,57.539896514975666,49.03215842036463,57.088363251424774,64.4593481250465,78.88
1008,CSE221009,Student_9,Male,student8@mail.com,8999999866.02173,DS,3.0,4.0,A,90.32260189102065,6.0,6.92,7.52,53.18288162768534,2.241488937604327,21.31273798160966,48.17916219098135,0.0,5.0,93.96,140.94023955543938,149.52511996665095,0.07,216.56322318251136,59.73,42.57,54.31,55.682143927511234,48.0,Low,0.0432465316780901,1.134174099598643,36.226417733996,1.8707557329485673,1.9902602788710952,6.225909822653788,30.88,-184.00286521578857,Medium,Low,Medium,Medium,"Improve attendance, DSA, projects.",-207.73072897228357,58.01495001713505,65.42413266457822,57.19672637890102,46.847694291550084,55.94577819818588,57.509095377369675,100.0
1009,CSE221009,Student_9,Male,student10@mail.com,8999999991.496332,AI,1.0,7.0,B,20.97664509102596,6.0,6.03,5.79,95.70483511044499,2.021951517770853,17.044809824414862,41.293961382025884,54.76,3.0,77.59,115.9159303466692,149.94635206500828,0.32,36.36593868022453,67.94,39.5,57.52,61.36035096020163,46.36,Low,-0.6277816020348554,0.0018785258494707982,52.100073767684876,0.7160808130256175,0.9308659117263288,3.947048030823023,27.27,5.649934106256076,Low,High,Medium,High,"Improve attendance, DSA, projects.",-163.37273453356366,67.87878451078306,76.13886879485052,57.26322421386532,62.42457137902846,72.58271397462221,59.47494485509858,100.0
1010,CSE221010,Student_10,Female,student11@mail.com,9000000093.892244,DS,2.0,4.0,A,165.79885236439276,5.0,6.18,5.38,35.58304834280831,1.2209140584281628,19.551007867604234,43.28620423461795,0.0,5.0,97.13,144.4784364565373,150.20637038727924,0.32,-196.04119361872395,64.42,43.81,65.41,64.11755908906184,48.08,Medium,0.7628395676000977,0.3998004229314967,-256.86786983425014,0.35071751841778787,2.35982205250024,8.725602153957206,29.22,-23.15337175016669,High,Low,High,High,"Improve attendance, DSA, projects.",130.08914299522854,74.61960110064459,67.42272325789611,78.93696303251654,68.07533863624207,62.802635230502744,63.69787695435068,100.0
